Date,Bullish,Neutral,Bearish,Total,Bullish 8-week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average +St. Dev.,Bullish Average -St. Dev.,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
12-21-95,0.48,0.28,0.24,1,0.485,0.24,0.375,0.476,0.274,616.34,605.05,611.96
12-28-95,0.46,0.34,0.2,1,0.4838,0.26,0.375,0.476,0.274,615.93,611.96,615.93
1-4-96,0.55,0.18,0.27,1,0.4913,0.28,0.375,0.476,0.274,624.52,612.02,616.71
1-11-96,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.375,0.476,0.274,619.15,597.29,601.81
1-18-96,0.42,0.29,0.29,1,#N/A,0.13,0.375,0.476,0.274,612.92,598.47,611.83
1-25-96,0.36,0.4,0.24,1,#N/A,0.12,0.375,0.476,0.274,621.62,610.65,621.62
2-1-96,0.54,0.31,0.15,1,#N/A,0.39,0.375,0.476,0.274,639.26,621.42,635.84
2-8-96,0.53,0.31,0.16,1,#N/A,0.37,0.375,0.476,0.274,656.37,641.43,656.37
2-15-96,0.54,0.21,0.25,1,#N/A,0.29,0.375,0.476,0.274,664.23,646.99,647.98
2-22-96,0.49,0.22,0.29,1,#N/A,0.2,0.375,0.476,0.274,663,638.79,659.08
2-29-96,0.45,0.28,0.27,1,#N/A,0.18,0.375,0.476,0.274,659.08,635,644.37
3-7-96,0.44,0.28,0.28,1,0.4713,0.16,0.375,0.476,0.274,656.97,627.63,633.5
3-14-96,0.36,0.35,0.29,1,0.4638,0.07,0.375,0.476,0.274,641.43,637.09,641.43
3-21-96,0.47,0.31,0.22,1,0.4775,0.25,0.375,0.476,0.274,656.18,641.43,650.62
3-28-96,0.45,0.31,0.24,1,0.4663,0.21,0.375,0.476,0.274,652.97,645.5,645.5
4-4-96,0.4,0.43,0.17,1,0.45,0.23,0.375,0.476,0.274,656.68,645.5,655.86
4-11-96,0.4,0.42,0.18,1,0.4325,0.22,0.375,0.476,0.274,655.86,624.14,636.71
4-18-96,0.36,0.38,0.26,1,0.4163,0.1,0.375,0.476,0.274,647.32,631.18,645.07
4-25-96,0.28,0.4,0.32,1,0.395,-0.04,0.375,0.476,0.274,656.43,643.61,653.46
5-2-96,0.48,0.31,0.21,1,0.4,0.27,0.375,0.476,0.274,656.44,640.23,641.63
5-9-96,0.46,0.38,0.16,1,0.4125,0.3,0.375,0.476,0.274,652.09,638.26,652.09
5-16-96,0.37,0.4,0.23,1,0.4,0.14,0.375,0.476,0.274,669.84,645.44,668.91
5-23-96,0.51,0.35,0.14,1,0.4075,0.37,0.375,0.476,0.274,681.1,667.64,678.51
5-30-96,0.61,0.29,0.1,1,0.4338,0.51,0.375,0.476,0.274,679.98,664.56,669.12
6-6-96,0.47,0.28,0.25,1,0.4425,0.22,0.375,0.476,0.274,680.32,662.48,673.31
